name,nationality,wins,was_champion
Henry Miller,United States,6,0
Micah Miller,United States,20,0
Aaron Miller,United States,14,0
Mo Miller,United States,6,0
Juliana Miller,United States,4,0
Eddy Millis,United States,0,0
Che Mills,England,16,0
Adam Milstead,United States,8,0
Alberto Mina,Brazil,13,0
Vitaly Minakov,Russia,20,0
Darrick Minner,United States,26,0
Mike Minniger,United States,0,0
Ikuhisa Minowa,Japan,60,0
Carlton Minus,United States,10,0
Stipe Miocic,United States,20,1
Frank Mir,United States,18,1
Juan Miranda,United States,7,0
Mario Miranda,Brazil,14,0
Vitor Miranda,Brazil,12,0
Gabriel Miranda,Brazil,17,0
Damir Mirenic,Croatia,9,0
Kazuo Misaki,Japan,25,0
Toby Misech,United States,9,0
Dokonjonosuke Mishima,Japan,21,0
Felix Lee Mitchell,Unlisted,2,0
David Mitchell,United States,22,0
Danny Mitchell,England,19,0
Brad Mitchell,United States,4,0
Clay Mitchell,United States,1,0
Bryce Mitchell,United States,17,0
Maurice Mitchell,United States,11,0
Terrence Mitchell,United States,14,0
Roman Mitichyan,Armenia,8,0
Matt Mitrione,United States,12,0
Eiji Mitsuoka,Japan,18,0
Hiromitsu Miura,Japan,12,0
Jonathan  Mix,Canada,7,0
Tomoya Miyashita,Japan,17,0
Kazuyuki Miyata,Japan,15,0
Motoki Miyazawa,Japan,7,0
Takeya Mizugaki,Japan,21,0
Mizuki,Japan,15,0
Tatsuya Mizuno,Japan,16,0
Roxanne Modafferi,United States,25,0
Bobby Moffett,United States,13,0
Bronson Mohika,United States,1,0
Nate Mohr,United States,9,0
Renato Moicano,Brazil,20,0
Thiago Moises,Brazil,19,0
Muhammad Mokaev,England,13,0
Ashkan Mokhtarian,Australia,13,0
Suman Mokhtarian,Australia,8,0
Dan Molina,United States,13,0
Jeff Molina,United States,11,0
Rudyard Moncayo,United States,0,0
Hidetaka Monma,Japan,18,0
Jeff Monson,United States,60,0
Darrell Montague,United States,13,0
Andrew Montanez,United States,9,0
Augusto Montano,Mexico,15,0
Erick Montano,Mexico,7,1
Nicco Montano,United States,5,1
Antonio Monteiro,Brazil,17,0
Alberto Montes,United States,11,0
Steve Montgomery,United States,9,0
James Moontasri,United States,9,0
Homer Moore,United States,26,0
Todd Moore,United States,16,0
Nate Moore,United States,8,0
Dustin Moore,United States,0,0
Taylor Moore,United States,10,0
Sergio Moraes,Brazil,14,0
Marlon Moraes,Brazil,23,0
Sheymon Moraes,Brazil,11,0
John Moraga,United States,19,0
Ricardo Morais,Brazil,10,0
Leonardo Morales,Nicaragua,6,0
Albert Morales,United States,7,0
Joseph Morales,United States,9,0
Vince Morales,United States,16,0
Omar Morales,Venezuela,11,0
Michael Morales,Ecuador,17,0
Sarah Moras,Canada,6,0
Christian Morecraft,United States,8,0
Joe Moreira,Brazil,2,0
Richardson Moreira,Brazil,7,0
Gisele Moreira,Brazil,8,0
Vinicius Moreira,Brazil,9,0
Jesse Moreng,United States,9,0
Brandon Moreno,Mexico,22,1
Mike Moreno,United States,6,0
Dan Moret,United States,13,0
Sammy Morgan,United States,18,0
Peggy Morgan,United States,4,0
Alexander Morgan,United States,11,0
Alex Morono,United States,24,0
Maryna Moroz,Ukraine,11,0
Sergey Morozov,Kazakhstan,19,0
Brad Morris,Australia,10,0
Scott Morris,United States,2,0
Anthony Morrison,United States,20,0
Jack Morrison,United States,0,0
Harry Moskowitz,United States,6,0
Carlos Mota,Brazil,8,0
Miki Motono,Japan,8,0
Juan Mott,Brazil,3,0
Nikolas Motta,Brazil,15,0
Flavio Luiz Moura,Brazil,19,0
Eduarda Moura,Brazil,11,0
Gegard Mousasi,Netherlands,42,0
Kris Moutinho,United States,9,0
Kin Moy,United States,8,0
Jamie Moyle,United States,4,0
Askar Mozharov,Ukraine,19,0
Garrett Mueller,United States,3,0
Lauren Mueller,United States,5,0
Belal Muhammad,United States,24,1
Fazlo Mulabitinovic,United States,4,0
Quinn Mulhern,United States,18,0
James Mulheron,England,11,0
Jamie Mullarkey,Australia,17,0
Jim Mullen,United States,0,0
Melissa Mullins,England,7,0
Pedro Munhoz,Brazil,20,0
Andre Muniz,Brazil,24,0
Mark Munoz,United States,14,0
Alexander Munoz,Puerto Rico,7,0
Johnny Munoz,United States,12,0
Andy Murad,United States,15,0
Olivier Murad,United States,6,0
Makhmud Muradov,Uzbekistan,26,0
Kazunari Murakami,Japan,5,0
Ryuichi Murata,Japan,8,0
Kanako Murata,Japan,12,0
Ailiya Muratbek,Brazil,9,0
Vince Murdock,United States,12,0
Samandar Murodov,Tajikistan,11,0
Tom Murphy,United States,8,0
Ian Murphy,United States,1,0
Jon Murphy,United States,6,0
Lauren Murphy,United States,16,0
Patrick Murphy,United States,5,0
Lerone Murphy,England,15,0
Lee Murray,England,8,0
Jesse Murray,United States,8,0
Khalid Murtazaliev,Russia,14,0
Azamat Murzakanov,Russia,14,0
Josias Musasa,"Congo, The Democratic Republic of the",7,0
Nicholas Musoke,Sweden,13,0
Andre Mussi,Brazil,11,0
Magomed Mustafaev,Russia,14,0
Max Mustaki,United States,6,0
Elvis Mutapcic,United States,15,0
Fiona Muxlow,Australia,6,0
Ho Bae Myeon,South Korea,13,0
Katsuhiko Nagata,Japan,6,0
Yuji Nagata,Japan,0,0
Greg Nagy,United States,1,0
Logan Nail,United States,1,0
Muhammad Naimov,Unlisted,12,0
Yukiya Naito,Japan,15,0
Yura Naito,Japan,6,0
Andrews Nakahara,Brazil,5,0
Rin Nakai,Japan,19,0
Kazuhiro Nakamura,Japan,21,0
Keita Nakamura,Japan,34,0
Daisuke Nakamura,Japan,28,0
Yusaku Nakamura,Japan,14,0
Rinya Nakamura,Japan,9,1
Tokitaka Nakanishi,Japan,12,0
Jutaro Nakao,Japan,25,0
Yoshihiro Nakao,Japan,9,0
Yui Chul Nam,South Korea,18,0
Tyson Nam,United States,21,0
Rose Namajunas,United States,14,1
Yasuhito Namekawa,Japan,25,0
Nad Narimani,England,12,0
Roger Narvaez,United States,8,0
Fabio Nascimento,Brazil,11,0
Allan Nascimento,Brazil,20,0
Rodrigo Nascimento,Brazil,11,0
Bobby Nash,United States,8,0
Reza Nasri,Iran,0,0
Nasrudin Nasrudinov,Russia,9,0
Pawel Nastula,Poland,5,0
Rafael Natal,Brazil,21,0
Kevin Natividad,United States,9,0
Ismail Naurdiev,Austria,24,0
Danny Navarro,United States,17,0
Marcio Navarro,United States,14,0
Tafon Nchukwi,Cameroon,6,0
Dustin Neace,United States,25,0
Josh Neal,United States,5,0
Joe Neal,United States,6,0
Geoff Neal,United States,16,0
Stanislav Nedkov,Bulgaria,12,0
Josh Neer,United States,36,0
Nicolae Negumereanu,Romania,13,0
Steve Nelmark,United States,2,0
Shane Nelson,United States,16,0
Roy Nelson,United States,22,1
Gunnar Nelson,Iceland,19,0
Kyle Nelson,Canada,16,0
Lissette Neri,United States,6,0
Mario Neto,Brazil,13,0
Antonio Braga Neto,Brazil,9,0
Eduardo Neves,Brazil,7,0
Julio Cesar Neves Jr.,Brazil,33,0
Nick Newell,United States,14,0
Journey Newson,United States,10,0
Jeff Newton,United States,4,0
Carlos Newton,Canada,16,1
Emanuel Newton,United States,26,0
Francis Ngannou,France,17,1
Ben Nguyen,United States,16,0
Steven Nguyen,United States,9,0
Alex Nicholson,United States,7,0
Bo Nickal,United States,7,0
Mike Nickels,United States,9,0
Matheus Nicolau,Brazil,19,0
Stewart Nicoll,Australia,8,0
Jaimelene Nievera,United States,7,0
Khomkrit Niimi,United States,6,0
Tom Niinimaki,Finland,22,0
Ramsey Nijem,United States,9,0
Hans Nijman,Netherlands,9,0
Fedor Nikolov,Ghana,0,0
Jack Nilson,United States,2,0
Mats Nilsson,Sweden,11,0
Guangyou Ning,China,5,1
Soichi Nishida,Japan,5,0
Yosuke Nishijima,Japan,0,0
Yamato Nishikawa,Japan,21,0
Akiyo Nishiura,Japan,13,0
Anthony Njokuani,United States,16,0
Chidi Njokuani,United States,24,0
Derrick Noble,United States,27,0
Kyle Noblitt,United States,11,0
Pedro Nobre,Brazil,18,0
Jacob Noe,United States,3,0
Antonio Rodrigo Nogueira,Brazil,34,1
Rogerio Nogueira,Brazil,23,0
Alexandre Franca Nogueira,Brazil,18,0
Talita Nogueira,Brazil,6,0
Kyle Noke,Australia,22,0
Tom Nolan,Australia,9,0
Nick Nolte,United States,5,0
KJ Noons,United States,13,0
Sage Northcutt,United States,11,0
Jan Nortje,South Africa,2,0
Scott Norton,United States,7,0
Shohei Nose,Japan,12,0
Jonatas Novaes,Brazil,13,0
Jason Novelli,United States,11,0
Phillipe Nover,United States,11,0
Taiyilake Nueraji,Puerto Rico,9,0
Shayilan Nuerdanbieke,Unlisted,39,0
Diego Nunes,Brazil,19,0
Amanda Nunes,Brazil,23,1
Nina Nunes,United States,11,0
Istela Nunes,Brazil,6,0
Josiane Nunes,Brazil,10,0
Diyar Nurgozhay,Kazakhstan,10,0
Khabib Nurmagomedov,Russia,29,1
Said Nurmagomedov,Russia,18,0
Abubakar Nurmagomedov,Russia,17,0
Umar Nurmagomedov,Russia,18,0
Kennedy Nzechukwu,United States,14,0
Jake O'Brien,United States,15,0
TJ O'Brien,Unlisted,20,0
Sean O'Connell,United States,17,0
Dan O'Connor,United States,6,0
Sean O'Haire,United States,4,0
Sean O'Malley,United States,18,1
Jeremiah O'Neal,United States,13,0
Chuck O'Neil,United States,17,0
Casey O'Neill,Scotland,10,0
Brendan O'Reilly,Australia,6,0
Takahiro Oba,Japan,5,0
Nobuhiro Obiya,Japan,12,0
Jose Ochoa,Peru,7,0
Christian Ocon,Unlisted,2,0
Richard Odoms,United States,13,0
Volkan Oezdemir,Switzerland,20,0
Kaan Ofli,Australia,12,0
Naoya Ogawa,Japan,7,0
Trey Ogden,United States,18,0
Andy Ogle,England,9,0
Ho Taek Oh,South Korea,7,0
Michiyoshi Ohara,Japan,0,0
Koji Oishi,Japan,25,0
Takayuki Okada,Japan,3,0
Yushin Okami,Japan,34,0
JJ Okanovich,Unlisted,7,0
Bolaji Oki,Belgium,9,0
Kazuki Okubo,Japan,7,0
Masakatsu Okuda,Japan,8,0
Aleksei Oleinik,Russia,60,0
Michal Oleksiejczuk,Poland,19,0
Rafaello Oliveira,United States,17,0
Charles Oliveira,Brazil,35,1
Jorge Oliveira,Brazil,5,0
Ednaldo Oliveira,Brazil,17,0
Alex Oliveira,Brazil,22,0
Maria Oliveira,Brazil,13,0
Bruno Oliveira,Brazil,8,0
Saimon Oliveira,Brazil,18,0
Vinicius Oliveira,Brazil,22,0
Ravena Oliveira,Brazil,7,0
Wendell Oliveira Marques,Unlisted,29,0
Felipe Olivieri,Brazil,14,0
Andy Ologun,Nigeria,3,0
Shana Olsen,United States,5,0
Casey Olson,United States,14,0
Dennis Olson,United States,14,0
Cameron Olson,United States,7,0
Gadzhi Omargadzhiev,Russia,13,0
Alan Omer,Iraq,20,0
Daniel Omielanczuk,Poland,19,0
Michihiro Omigawa,Japan,17,0
David Onama,United States,13,0
Charlie Ontiveros,United States,11,0
Chibwikem Onyenegecha,United States,5,0
Myktybek Orolbai,Kyrgyzstan,13,0
Sam Oropeza,United States,13,0
Brian Ortega,United States,16,0
Tito Ortiz,United States,19,1
Jorge Ortiz,Mexico,18,0
Dustin Ortiz,United States,19,0
Kenji Osawa,Japan,20,0
Ode Osbourne,United States,12,0
Kurt Osiander,Brazil,4,0
Nick Osipczak,England,6,0
Nissen Osterneck,United States,12,0
Rachael Ostovich,United States,4,0
Pedro Otavio,Brazil,19,0
Alexander Otsuka,Japan,5,0
Takafumi Otsuka,Japan,22,0
Quemuel Ottoni,Brazil,12,0
Zak Ottow,United States,17,0
Artur Oumakhanov,Puerto Rico,9,0
Sidney Outlaw,United States,8,0
Alistair Overeem,Netherlands,47,0
Valentijn Overeem,Netherlands,30,0
Craig Oxley,United States,0,0
Shungo Oyama,Japan,14,0
Ren Ozaki,Japan,6,0
Alptekin Ozkilic,United States,9,0
Raquel Pa'aluhi,United States,6,0
Nick Pace,United States,8,0
Larissa Pacheco,Brazil,10,0
Angel Pacheco,United States,7,0
Teemu Packalen,Finland,8,0
George Pacurariu,Romania,10,0
Cyrillo Padilha,Brazil,3,0
Gary Padilla,United States,12,0
Fernando Padilla,Mexico,16,0
Chris Padilla,United States,15,0
Damacio Page,United States,19,0
Michael Page,England,23,0
Dustin Pague,United States,12,0
Josh Paiva,United States,8,0
Raulian Paiva,Brazil,21,0
Dinis Paiva Jr.,Unlisted,13,0
Fredson Paixao,United States,10,0
Luis Pajuelo,Peru,8,0
Jose Palacios,Nicaragua,3,0
Ricky Palacios,United States,10,0
Bart Palaszewski,United States,36,0
Sasha Palatnikov,Hong Kong,6,0
Soa Palelei,Australia,22,0
Rousimar Palhares,Brazil,19,0
Tulio Palhares,Brazil,2,0
Stephen Palling,United States,11,0
Eduardo Pamplona,Brazil,16,0
Ruel Panales,Philippines,6,0
Yuri Panferov,Russia,6,0
Alexandre Pantoja,Brazil,29,1
Jared Papazian,United States,20,0
Kathryn Paprocki,United States,3,0
Joe Pardo,United States,4,0
Bryan Pardoe,United States,13,0
Remco Pardoel,Netherlands,9,0
Ido Pariente,Israel,13,0
Josh Parisian,United States,15,0
Karo Parisyan,United States,24,0
Won Sik Park,South Korea,11,0
JunYong Park,South Korea,18,0
Harvey Park,United States,12,0
HyunSung Park,Puerto Rico,9,1
Jae Hyun Park,South Korea,6,0
Norman Parke,Northern Ireland,23,1
Ryan Parker,United States,0,0
Larry Parker,United States,13,0
Tyra Parker,United States,4,0
Mick Parkin,England,10,0
Willie Parks,United States,5,0
Jordan Parsons,United States,11,0
Preston Parsons,United States,11,0
Jonny Parsons,United States,9,0
Onassis Parungao,Philippines,2,0
Ramona Pascual,Hong Kong,6,0
Billy Pasulatan,Indonesia,10,0
Jhonoven Pati,United States,6,0
Windri Patilima,Indonesia,8,0
Jorge Patino,Brazil,38,0
Russell Patrick,United States,6,0
Claude Patrick,Canada,14,0
Alan Patrick,Brazil,15,0
Michael Patt,United States,12,0
Justin Patterson,United States,9,0
Sam Patterson,England,12,0
Zac Pauga,United States,7,0
Julio Paulino,United States,23,0
Thomas Paull,England,11,0
Sergei Pavlovich,Russia,19,0
Pawel Pawlak,Poland,12,0
Estevan Payan,United States,16,0
Sarah Payant,United States,1,0
Roland Payne,United States,0,0
Jonathan Pearce,United States,14,0
Joe Pearson,United States,45,0
Ross Pearson,England,20,1
Andre Pederneiras,Brazil,1,0
Carlo Pedersoli Jr.,United States,11,0
Matt Pedro,Brazil,3,0
Tyson Pedro,Australia,10,0
Trevor Peek,United States,9,0
Willie Peeters,Holland,9,0
Filip Pejic,Croatia,12,0
Kurt Pellegrino,United States,16,0
Yan Pellerin,Canada,11,0
Julianna Pena,United States,13,1
Luis Pena,United States,9,0
Felipe Pena,Brazil,0,0
Matej Penaz,Czech Republic,6,0
Sherman Pendergarst,United States,11,0
Drew Pendleton,United States,5,0
Cathal Pendred,Ireland,17,0
BJ Penn,United States,16,1
Jessica Penne,United States,14,0
Nick Penner,Canada,11,0
Justin Pennington,United States,3,0
Raquel Pennington,United States,16,1
Tecia Pennington,United States,14,0
Jerron Peoples,United States,4,0
Godofredo Pepey,Brazil,13,0
Ray Perales,United States,13,0
Robert Peralta,United States,18,0
Viviane Pereira,Brazil,13,0
Michel Pereira,Brazil,31,0
Alex Pereira,Brazil,12,1
Daniel Pereira,Brazil,9,0
Luciano Pereira,Uruguay,13,0
Alice Pereira,Brazil,6,0
Rolando Perez,United States,7,0
Philip Perez,Unlisted,7,0
Erik Perez,Mexico,17,0
Alejandro Perez,Mexico,23,1
Frankie Perez,United States,10,0
Jose Perez,Puerto Rico,1,0
Alex Perez,United States,25,0
Markus Perez,Brazil,12,0
Ailin Perez,Argentina,12,0
Anthony Perosh,Australia,15,0
Thiago Perpetuo,Brazil,9,0
Hernani Perpetuo,Brazil,18,0
Jay Perrin,United States,10,0
Mike Perry,United States,14,0
Raphael Pessoa,Brazil,10,0
Viktor Pesta,Czech Republic,10,0
Leiticia Pestova,United States,0,0
Tony Petarra,United States,2,0
Tommy Petersen,United States,2,0
Thomas Petersen,United States,9,0
Cory Peterson,United States,2,0
Steven Peterson,United States,19,0
Vitor Petrino,Brazil,11,0
Andre Petroski,United States,13,0
Armen Petrosyan,Armenia,9,0
Ivana Petrovic,Norway,7,0
Seth Petruzelli,United States,14,0
Peter Petties,United States,5,0
Anthony Pettis,United States,24,1
Sergio Pettis,United States,18,0
Forrest Petz,United States,26,0
Dino Pezao,Brazil,1,0
Cody Pfister,United States,13,0
Nam Phan,United States,21,0
Constantinos Philippou,Unlisted,13,0
Wayne Phillips,United States,7,0
Dave Phillips,United States,13,0
Aaron Phillips,United States,12,0
Elizabeth Phillips,United States,6,0
John Phillips,Wales,22,0
Kyler Phillips,United States,12,0
Mario Piazzon,Brazil,8,0
Nick Pica,United States,5,0
Nick Piccininni,United States,7,0
Adam Piccolotti,United States,9,0
Vinc Pichel,United States,14,0
Brad Pickett,England,25,0
Jamie Pickett,United States,13,0
Fabiola Pidroni,Italy,5,0
Oskar Piechota,Poland,11,0
Nick Piedmont,United States,12,0
Mike Pierce,United States,17,0
Joao Pierini,Unlisted,4,0
Jonathan Piersma,United States,9,0
Sean Pierson,Canada,14,0
Domingo Pilarte,United States,8,0
Paddy Pimblett,England,22,0
Daniel Pineda,United States,28,0
Jesus Pinedo,Peru,16,0
Pingyuan Liu,China,13,0
Luana Pinheiro,Brazil,11,0
Mario Pinto,Portugal,9,0
Gaetano Pirrello,Belgium,15,0
Maki Pitolo,United States,13,0
Dmitry Poberezhets,Ukraine,24,0
Jamal Pogues,United States,11,0
Ross Pointon,England,6,0
Dustin Poirier,United States,30,1
Igor Pokrajac,Croatia,28,0
John Polakowski,United States,2,0
Julia Polastri,Brazil,13,0
Brandon Polcare,United States,1,0
Mike Polchlopek,United States,1,0
Santiago Ponzinibbio,Argentina,31,0
Grigory Popov,Russia,13,0
Alexander Poppeck,Germany,9,0
Felipe Portela,Brazil,9,0
Parker Porter,United States,14,0
Ihor Potieria,Ukraine,20,0
Callan Potter,Australia,18,0
Dylan Potter,United States,10,0
Ruan Potts,South Africa,11,0
Devin Powell,United States,9,0
Marcin Prachnio,Poland,17,0
Wagner Prado,Brazil,12,0
Francisco Prado,Argentina,12,0
Trevor Prangley,South Africa,34,0
Ricardo Prasel,Brazil,10,0
Carlo Prater,Brazil,31,0
Carlos Prates,Brazil,21,0
Michel Prazeres,Brazil,26,0
Philip Preece,United States,10,0
Kyle Prepolec,Canada,12,0
Dorian Price,United States,8,0
Chris Price,United States,19,0
Niko Price,United States,16,0
Shane Primm,United States,5,0
Brent Primus,United States,8,0
Jiri Prochazka,Czech Republic,31,1
Lara Procopio,Puerto Rico,7,0
Joe Proctor,United States,11,0
Cole Province,United States,6,0
Daniel Puder,United States,8,0
Lucie Pudilova,Czech Republic,14,0
Claudio Puelles,Peru,13,0
Juan Puerta,United States,23,0
Bubba Pugh,United States,3,0
Juan Manuel Puig,Mexico,11,0
Hugh Pulley,United States,6,0
Josh Pulsifer,United States,17,0
Jens Pulver,United States,27,1
Andrey Pulyaev,Russia,9,0
CM Punk,United States,0,0
Joe Pyfer,United States,13,0
Mike Pyle,United States,27,0
Pat Pytlik,Canada,9,0
Qiu Lun,Unlisted,16,0
Bao Quach,United States,19,0
Gary Quan,United States,3,0
Billy Quarantillo,United States,18,0
Nate Quarry,United States,12,0
Vinicius Queiroz,Brazil,8,0
Jimmy Quinlan,United States,3,0
Josh Quinlan,United States,6,0
Ryan Quinn,United States,13,0
Michel Quinones,United States,8,0
Landon Quinones,United States,7,0
Jose Quinonez,Mexico,9,0
Cristian Quinonez,Mexico,18,0
Benji Radach,United States,21,0
Jordan Radev,Bulgaria,23,0
Charles Radtke,Puerto Rico,10,0
Loik Radzhabov,Tajikistan,18,0
Gilbert Rael,United States,1,0
Josh Rafferty,United States,9,0
Amir Rahnavardi,United States,11,0
Ricky Rainey,United States,12,0
Shavkat Rakhmonov,Kazakhstan,19,0
Sora Rakhmonova,Kazakhstan,4,0
Aleksandar Rakic,Austria,14,0
Jessica Rakoczy,Canada,1,0
Zygimantas Ramaska,Lithuania,9,0
Thomas Ramirez,Puerto Rico,0,0
Hector Ramirez,United States,10,0
Matt Ramirez,United States,2,0
Steve Ramirez,United States,5,0
Amador Ramirez,United States,5,0
Mitch Ramirez,United States,8,0
Andrew Ramm,United States,4,0
Ian Rammel,United States,7,0
Luis Ramos,Brazil,20,0
Ricardo Ramos,Brazil,17,0
Davi Ramos,Brazil,10,0
Dorian Ramos,United States,8,0
Vernon Ramos Ho,Puerto Rico,3,0
Kevin Randleman,United States,17,1
Raou Raou,Mexico,0,0
Mitch Raposo,United States,9,0
Hussain Rasouli,United States,2,0
David Rasouri,United States,2,0
Ed Ratcliff,United States,7,0
Bec Rawlings,Australia,7,0
Gideon Ray,United States,17,0
Joe Ray,United States,13,0
Stevie Ray,Unlisted,23,0
Keenan Raymond,United States,3,0
Iony Razafiarison,France,2,0
Abdul Razak Alhassan,Ghana,12,0
Antony Rea,France,33,0
Mateusz Rebecki,Poland,20,0
Rafael Rebello,United States,9,0
Greg Rebello,United States,24,0
Paul Redmond,Ireland,12,0
Dennis Reed,United States,45,0
Karl Reed,United States,6,0
Elise Reed,United States,8,0
John Reedy,United States,11,0
Johnny Rees,United States,13,0
James Reese,Puerto Rico,11,0
Zachary Reese,United States,8,0
Stephen Regman,United States,9,0
Chad Reiner,United States,33,0
Jason Reinhardt,United States,20,0
Wilson Reis,Brazil,23,0
Ben Reiter,United States,17,0
Goran Reljic,Croatia,15,0
Leigh Remedios,England,18,0
Paulo Renato Junior,Unlisted,12,0
Chance Rencountre,United States,14,0
Montserrat Rendon,Mexico,6,0
Marion Reneau,United States,9,0
Solomon Renfro,United States,8,0
John Renken,United States,18,0
Herman Renting,Netherlands,1,0
Marco Polo Reyes,Mexico,8,0
Dominick Reyes,United States,14,0
Alex Reyes,United States,13,0
Kyle Reyes,Guam,15,0
Victor Reyna,United States,11,0
Gaston Reyno,Uruguay,6,0
Johnny Rhodes,United States,2,0
Mike Rhodes,United States,10,0
Lucrezia Ria,Italy,8,0
Amanda Ribas,Brazil,13,0
Vitor Ribeiro,Brazil,20,0
Will Ribeiro,Brazil,10,0
Claudio Ribeiro,Brazil,11,0
Brendson Ribeiro,Brazil,16,0
Esteban Ribovics,Argentina,14,0
Mike Ricci,Canada,11,0
Alex Ricci,Unlisted,10,0
Tabatha Ricci,Brazil,11,0
Matt Ricehouse,United States,6,0
John Richard,United States,3,0
Rex Richards,United States,7,0
Mike Richman,United States,18,0
Dave Rickels,United States,18,0
Haisam Rida,Ghana,0,0
Brad Riddell,New Zealand,10,0
Matthew Riddle,United States,8,0
Joe Riggs,United States,44,0
Jeremiah Riggs,United States,7,0
Aaron Riley,United States,30,0
Jason Riley,United States,10,0
Luke Riley,England,9,0
Moise Rimbon,United Arab Emirates,23,0
Jordan Rinaldi,United States,14,0
Nick Ring,Canada,14,0
Robbie Ring,United States,6,0
Mike Rio,United States,10,0
Albert Rios,United States,13,0
Rafael Rios,United States,4,0
Maria Rios,United States,2,0
Shannon Ritch,United States,56,0
Diego Rivas,Chile,10,0
Jorge Rivera,United States,20,0
Dante Rivera,United States,16,0
Mario Rivera,United States,6,0
Francisco Rivera,United States,11,0
Jonathan Rivera,United States,4,0
Jimmie Rivera,United States,23,0
Irwin Rivera,United States,10,0
Jerome Rivera,United States,10,0
Nicdali Rivera-Calanoc,Puerto Rico,9,0
Pedro Rizzo,Brazil,20,0
Theo Rlayang,United States,5,0
Justin Robbins,United States,14,0
Kali Robbins,United States,6,0
Karl Roberson,United States,9,0
Andre Roberts,United States,14,0
David Roberts,United States,5,0
Joey Roberts,United States,4,0
Tyrone Roberts,United States,43,0
Ryan Roberts,United States,21,0
Taylor Roberts,United States,3,0
Daniel Roberts,United States,15,0
Buddy Roberts,United States,12,0
Danny Roberts,England,18,0
Roosevelt Roberts,United States,12,0
Kenny Robertson,United States,15,0
Gillian Robertson,Canada,15,0
Chad Robichaux,United States,13,0
Mark Robinson,United States,1,0
Colin Robinson,Northern Ireland,10,0
Alvin Robinson,United States,15,0
Damonte Robinson,United States,6,0
Vagner Rocha,Brazil,14,0
Carlos Eduardo Rocha,Brazil,9,0
Pedro Rocha,Brazil,1,0
Lucas Rocha,Brazil,17,0
Keith Rockel,United States,12,0
Luke Rockhold,United States,16,1
Kevin Roddy,United States,15,0
Gregory Rodrigues,Brazil,16,0
Kleydson Rodrigues,Brazil,8,0
Paul Rodriguez,United States,10,0
Ricco Rodriguez,United States,53,1
Manuel Rodriguez,El Salvador,11,0
Yair Rodriguez,Mexico,16,1
Mike Rodriguez,United States,11,0
Marina Rodriguez,Brazil,17,0
Daniel Rodriguez,United States,18,0
Ray Rodriguez,United States,16,0
Ronaldo Rodriguez,Mexico,17,0
Drako Rodriguez,United States,7,0
Victor Rodriguez,United States,7,0
Piera Rodriguez,Venezuela,10,0
Christian Rodriguez,United States,12,0
Pete Rodriguez,United States,5,0
Nick Roehrick,United States,7,0
Marcos Rogerio de Lima,Brazil,22,0
Brett Rogers,United States,17,0
Brian Rogers,United States,14,0
Pete Rogers Jr.,United States,2,0
Max Rohskopf,United States,5,0
Marcelo Rojo,Argentina,16,0
Shane Roller,United States,11,0
Jared Rollins,United States,8,0
Tim Roman,United States,3,0
Alexandr Romanov,Moldova,18,0
Ricardo Romero,United States,11,0
Yoel Romero,United States,13,0
Anthony Romero,United States,8,0
Kaleio Romero,United States,6,0
Roberto Romero,Mexico,8,0
Mara Romero Borella,Italy,12,0
Cortavious Romious,United States,9,0
Juancamilo Ronderos,Colombia,4,0
Rongzhu,Puerto Rico,26,0
Jesse Ronson,Canada,21,0
George Roop,United States,15,0
Joao Roque,Angola,7,0
Aaron Rosa,United States,18,0
Charles Rosa,United States,14,0
Karol Rosa,Brazil,18,0
Jacob Rosales,United States,13,0
Raul Rosas Jr.,United States,10,0
Hilarie Rose,United States,4,0
Jake Rosholt,United States,12,0
Jared Rosholt,United States,14,0
Kevin Rosier,United States,2,0
Zach Rosol,United States,3,0
Shannon Ross,Australia,13,0
Nick Rossborough,United States,26,0
Kristian Rothaermel,United States,4,0
Ben Rothwell,United States,39,0
Rick Roufus,United States,4,0
Khalil Rountree Jr.,United States,14,0
Ronda Rousey,United States,12,1
Ray Routh,United States,2,0
Roberta Rovel,Canada,4,0
Phil Rowe,United States,10,0
Cam Rowston,Australia,8,0
Kain Royer,United States,2,0
Brad Royster,United States,1,0
Brandon Royval,United States,17,0
Jairzinho Rozenstruik,Suriname,15,0
Mauricio Rua,Brazil,27,1
Murilo Rua,Brazil,20,0
Marco Ruas,Brazil,9,0
Rodrigo Ruas,Brazil,4,0
Rodolfo Rubio Perez,Puerto Rico,10,0
Gabe Ruediger,United States,18,0
Mauricio Ruffy,Brazil,11,0
Eddie Ruiz,United States,1,0
Anthony Ruiz,Peru,33,0
Paul Ruiz,United States,7,0
Montserrat Conejo Ruiz,Puerto Rico,10,0
Mike Russow,United States,15,0
Bas Rutten,Netherlands,28,0
Mashrabjon Ruzibaev,Puerto Rico,20,0
Nursulton Ruziboev,Uzbekistan,35,0
Casey Ryan,United States,7,0
Yusup Saadulaev,Russia,16,0
Cameron Saaiman,South Africa,9,0
Pete Sabala,United States,3,0
Danny Sabatello,United States,9,0
Pat Sabatini,United States,19,0
Amir Sadollah,United States,6,1
Nazim Sadykhov,Azerbaijan,10,0
Frankie Saenz,United States,13,0
Saparbeg Safarov,Puerto Rico,9,0
Tarec Saffiedine,Belgium,16,0
Jason Saggo,Canada,12,0
Kiru Sahota,Puerto Rico,12,0
Tatsuya Saika,Japan,11,0
Benoit Saint Denis,France,13,0
