name,nationality,wins,was_champion
Antwain Britt,United States,11,0
Drew Brokenshire,United States,16,0
Mike Bronzoulis,United States,18,0
Jonathan Brookins,United States,16,1
Will Brooks,United States,18,0
Jarred Brooks,United States,13,0
Rob Broughton,England,16,0
Lee Brousseau,United States,5,0
Matt Brown,United States,26,0
Mike Brown,United States,26,0
Dominic Brown,United States,16,0
Todd Brown,United States,16,0
Terrell Brown,United States,3,0
Chris Brown,United States,10,0
Frederick Brown,United States,3,0
Randy Brown,Jamaica,19,0
Damien Brown,Australia,17,0
TJ Brown,United States,17,0
Humberto Brown Morrison,Puerto Rico,4,0
Travis Browne,United States,18,0
Junie Browning,Puerto Rico,5,0
Jules Bruchez,United States,1,0
Justin Bruckmann,Canada,7,0
Cody Brundage,United States,10,0
Steve Bruno,United States,15,0
Fernando Bruno,Brazil,15,0
Derek Brunson,United States,23,0
Josh Bryant,United States,15,0
Dennis Bryant,United States,5,0
Robert Bryczek,Poland,17,0
Lukasz Brzeski,Poland,9,0
Justin Buchholz,United States,15,0
Zak Bucia,United States,17,0
Courtney Buck,United States,12,0
Joaquin Buckley,United States,21,0
Martin Buday,Slovakia,14,0
Julia Budd,Canada,10,0
Dylan Budka,United States,7,0
Mike Budnik,United States,13,0
Francisco Bueno,Brazil,5,0
Mayra Bueno Silva,Brazil,10,0
Paul Buentello,United States,35,0
Modestas Bukauskas,Lithuania,17,0
Lee Kwan Bum,Unlisted,0,0
Josh Bumgarner,United States,6,0
Shawn Bunch,United States,7,0
Felipe Bunes,Brazil,14,0
Shane Burgos,United States,15,0
Joshua Burkman,United States,28,0
Justin Burlinson,England,6,0
Mads Burnell,Denmark,9,0
Mikey Burnett,United States,5,0
Kevin Burns,United States,12,0
Gilbert Burns,Brazil,22,0
Josh Burns,United States,8,0
Herbert Burns,Brazil,11,0
Derrick Burnsed,United States,1,0
Nah-Shon Burrell,United States,15,0
Martin Buschkamp,Brazil,9,0
George Bush,United States,5,0
Bubba Bush,United States,8,0
Dakota Bush,United States,8,0
Murilo Bustamante,Brazil,15,1
Nick Bustamante,United States,5,0
Eduardo Bustillos,Mexico,5,0
Jason Butcher,United States,10,0
Todd Butler,United States,1,0
Goldman Butler,Unlisted,1,0
Ian Butler,United States,3,0
Raphael Butler,United States,9,0
Jesse Butler,United States,12,0
JP Buys,Puerto Rico,9,0
Dennis Buzukja,United States,12,0
Charles Byrd,United States,10,0
Steve Byrnes,United States,6,0
Michael Byrnes,Unlisted,5,0
Yan Cabral,Brazil,13,0
Alvin Cacdac,United States,18,0
Alex Caceres,United States,21,0
Vince Cachero,United States,7,0
Priscila Cachoeira,Brazil,12,0
Travis Calanoc,United States,5,0
Ricky Calatayud,United States,16,0
Carlos Calderon,Spain,6,0
Darrion Caldwell,United States,10,0
Nicolle Caliari,Brazil,8,0
Taylor Callens,United States,6,0
Cynthia Calvillo,United States,9,0
Joe Camacho,United States,13,0
Frank Camacho,Northern Mariana Islands,22,0
Lucas Camacho,Unlisted,6,0
Matheus Camilo,Brazil,9,0
Fabricio Camoes,Brazil,14,0
Chris Camozzi,United States,24,0
Brian Camozzi,United States,7,0
Ricky Camp,Guam,11,0
Mike Campbell,United States,13,0
Thomas Campbell,United States,3,0
Shane Campbell,Canada,14,0
Charlie Campbell,United States,9,0
John Campetella,United States,0,0
Wagner Campos,Brazil,12,0
Derek Campos,United States,19,0
Will Campuzano,United States,14,0
Aleksa Camur,United States,6,0
Chico Camus,United States,17,0
Asbel Cancio,United States,0,0
Carlos Candelario,United States,8,0
Ronaldo Candido,Unlisted,6,0
Luiz Cane,Brazil,17,0
Guido Cannetti,Argentina,10,0
Jared Cannonier,United States,18,0
Jose Canseco,United States,0,0
Cody Canterbury,United States,1,0
Bo Cantrell,United States,10,0
Steve Cantwell,United States,7,0
Paul Capaldo,United States,6,0
Phil Caracappa,United States,6,0
Frank Caracci,United States,2,0
Gina Carano,United States,7,0
Dos Caras Jr.,Croatia,9,0
Bryan Caraway,United States,21,0
Remo Cardarelli,United States,7,0
Phil Cardella,United States,8,0
Edgar Cardenas,United States,4,0
Chris Cariaso,United States,17,0
Ronald Carillo,United States,4,0
Rafael Carino,Brazil,2,0
Don Carlo-Clauss,United States,10,0
Antonio Carlos Junior,Unlisted,11,1
Spike Carlyle,United States,9,0
Francis Carmont,France,25,0
Liz Carmouche,United States,13,0
Roan Carneiro,Brazil,21,0
Ariane Carnelossi,Brazil,15,0
Luana Carolina,Brazil,11,0
Tim Caron,United States,7,0
Clayton Carpenter,United States,8,0
Gabriel Carrasco,United States,7,0
Cody Carrillo,United States,11,0
Cain Carrizosa,United States,10,0
Roger Carroll,United States,16,0
Jonny Carson,United States,11,0
Scott Carson,United States,4,0
Shonie Carter,United States,51,0
Jack Cartwright,England,10,0
Bruno Carvalho,Brazil,10,0
Antonio Carvalho,Canada,15,0
